Station,Latitude,Longitude,Zone,Postcode
Chipstead,51.309275,-0.169446,6,CR5 3TD
Chislehurst,51.405598,0.057492,5,BR7 5NN
Chiswick,51.480781,-0.267013,3,W4 2QE
Chiswick Park,51.494371,-0.267737,3,W4 5NE
Chorleywood,51.654266,-0.518334,7,WD3 5ND
City Thameslink,51.513935,-0.103618,1,EC4M 7JH
Clapham Common,51.461804,-0.138315,2,SW4 7AJ
Clapham High Street,51.46547,-0.132465,2,SW4 6DQ
Clapham Junction,51.464367,-0.170315,2,SW11 2QP
Clapham North,51.464916,-0.12991,2,SW4 7TS
Clapham South,51.452676,-0.147984,2,SW12 9DU
Clapton,51.561569,-0.057489,2,E5 9JP
Clock House,51.408541,-0.040702,4,BR3 4PR
Cockfosters,51.652024,-0.149917,5,EN4 0DZ
Colindale,51.595231,-0.250288,4,NW9 5HR
Colliers Wood,51.418759,-0.177415,3,SW19 2HR
Coulsdon South,51.315801,-0.137903,6,CR5 3EA
Coulsdon Town,51.322453,-0.134347,6,CR5 2JA
Covent Garden,51.51276,-0.124507,1,WC2E 9JT
Crayford,51.448547,0.178503,6,DA1 3PY
Crews Hill,51.684475,-0.106844,6,EN2 8AY
Cricklewood,51.558423,-0.212548,3,NW2 1HL
Crofton Park,51.455179,-0.036547,3,SE4 2RA
Crossharbour,51.49584,-0.014933,2,E14 8AD
Crouch Hill,51.571327,-0.117133,3,N4 4AU
Croxley,51.647005,-0.441604,7,WD3 3DY
Crystal Palace,51.41817,-0.072607,3,SE19 2AZ
Custom House,51.509622,0.025773,3,E16 3BX
Cutty Sark,51.481944,-0.010582,2,SE10 9SW
Cyprus,51.508527,0.063841,3,E6 5PH
Dagenham Dock,51.526287,0.145031,5,RM9 6RA
Dagenham East,51.544187,0.165833,5,RM10 8AA
Dagenham Heathway,51.541212,0.14768,5,RM9 5AN
Dalston Junction,51.546094,-0.074994,2,E8 3DL
Dalston Kingsland,51.548668,-0.076227,2,E8 2JS
Debden,51.645492,0.083801,6,IG10 3TG
Denmark Hill,51.468201,-0.090988,2,SE5 8BB
Deptford,51.47889,-0.026196,2,SE8 3NU
Deptford Bridge,51.474477,-0.022052,2,SE10 8BU
Devons Road,51.522258,-0.018008,2,E3 3QX
Dollis Hill,51.551851,-0.238798,3,NW10 5NB
Drayton Green,51.516005,-0.329611,4,W13 0JX
Drayton Park,51.553078,-0.10577,2,N5 1NT
Ealing Broadway,51.514862,-0.30201,3,W5 2NU
Ealing Common,51.510249,-0.287151,3,W5 3LD
Earl's Court,51.491357,-0.194314,1,SW5 9QA
Earlsfield,51.442239,-0.187273,3,SW18 4SW
Earlswood,51.227472,-0.170995,13,RH1 6HP
East Acton,51.516263,-0.248112,2,W12 0BP
East Croydon,51.375716,-0.091863,5,CR0 1LF
East Dulwich,51.461626,-0.080437,2,SE22 8EF
East Finchley,51.587333,-0.164744,3,N2 0NW
East Ham,51.539246,0.051516,3,E6 2JA
East India,51.508684,-0.00237,2,E14 9PS
East Putney,51.45888,-0.210998,2,SW15 6SN
Eastcote,51.576552,-0.396823,5,HA5 1QZ
Eden Park,51.390796,-0.02667,5,BR3 3HQ
Edgware,51.61423,-0.275094,5,HA8 7AW
Edgware Road (Bak),51.520645,-0.17054,1,W2 1DY
Edgware Road (DIS),51.519998,-0.167668,1,NW1 5DH
Edmonton Green,51.625116,-0.061639,4,N9 9DX
Elephant & Castle LU,51.495849,-0.100739,1,SE1 6LW
Elephant & Castle NR,51.495849,-0.100739,1,SE1 6LW
