Station,Latitude,Longitude,Zone,Postcode
St Margarets (Hertfordshire),51.455206,-0.321324,4,TW1 2LH
St. Helier,51.389912,-0.199015,4,SM4 6SF
St. James's Park,51.49961,-0.133879,1,SW1H 0BD
St. John's,51.468975,-0.023241,2,SE8 4EW
St. John's Wood,51.534854,-0.174065,2,NW8 6DN
St. Margaret's (Greater London),51.455206,-0.321324,4,TW1 2LH
St. Mary Cray,51.394759,0.107218,6,BR5 3SN
St. Pancras International,51.530554,-0.125506,1,NW1 2QP
St. Paul's,51.514835,-0.097571,1,EC2V 6AA
Stamford Brook,51.49445,-0.245246,2,W6 0SB
Stamford Hill,51.574448,-0.076668,3,N16 5AG
Stanmore,51.619673,-0.303099,5,HA7 4PD
Star Lane,51.520604,0.004191,3,E16 4SR
Stepney Green,51.521996,-0.047383,2,E1 4AQ
Stockwell,51.472159,-0.122846,2,SW9 9AE
Stoke Newington,51.564638,-0.072335,2,N16 6YA
Stonebridge Park,51.543987,-0.2754,3,NW10 0RW
Stoneleigh,51.363364,-0.24871,5,KT17 2JA
Stratford,51.541693,-0.003752,3,E15 1AZ
Stratford High Street,51.538149,-0.00108,3,E15 3PA
Stratford International DLR,51.544809,-0.008778,3,E15 2LZ
Stratford International NR,51.544809,-0.008778,3,E15 2LZ
Strawberry Hill,51.439748,-0.339618,5,TW1 4PP
Streatham,51.425846,-0.132325,3,SW16 6HP
Streatham Common,51.418985,-0.135726,3,SW16 5NT
Streatham Hill,51.43846,-0.127681,3,SW2 4PA
Sudbury & Harrow Road,51.554494,-0.315926,4,HA0 2HA
Sudbury Hill,51.55734,-0.336392,4,HA1 3RA
Sudbury Hill Harrow,51.558342,-0.335447,4,HA1 3RJ
Sudbury Town,51.551397,-0.316343,4,HA0 2LA
Sundridge Park,51.413394,0.020365,4,BR1 3TR
Surbiton,51.3926,-0.304385,6,KT6 4PE
Surrey Quays,51.493267,-0.04753,2,SE16 2UE
Sutton (Surrey),51.359506,-0.191302,5,SM1 1JA
Sutton Common,51.375555,-0.19692,4,SM1 3HY
Swiss Cottage,51.543035,-0.175627,2,NW3 6HY
Sydenham,51.427341,-0.055089,3,SE26 5EU
Sydenham Hill,51.432576,-0.08023,3,SE21 7HW
Syon Lane,51.481475,-0.326495,4,TW7 5NT
Tadworth,51.291628,-0.236008,6,KT20 5SP
Tattenham Corner,51.309181,-0.242566,6,KT18 5PR
Teddington,51.424498,-0.332705,6,TW11 9AA
Temple,51.511041,-0.113726,1,WC2R 2PH
Thames Ditton,51.388616,-0.338293,6,KT7 0PA
Theobalds Grove,51.692373,-0.034748,7,EN8 7BG
Theydon Bois,51.672552,0.102891,6,CM16 7EU
Thornton Heath,51.398481,-0.100433,4,CR7 8RX
Tolworth,51.376843,-0.27962,5,KT5 9NU
Tooting,51.419897,-0.161002,3,SW17 9JR
Tooting Bec,51.435838,-0.1597,3,SW17 9AH
Tooting Broadway,51.427049,-0.168685,3,SW17 0SU
Tottenham Court Road,51.516211,-0.13111,1,W1D 2DA
Tottenham Hale LU,51.587998,-0.060188,3,N17 9LR
Tottenham Hale NR,51.587998,-0.060188,3,N17 9LR
Totteridge & Whetstone,51.630247,-0.179354,4,N20 9QP
Tower Gateway,51.510393,-0.07441,1,EC3N 1JL
Tower Hill,51.510394,-0.076701,1,EC3N 4DJ
Tufnell Park,51.556441,-0.137742,2,N19 5QB
Tulse Hill,51.439797,-0.105123,3,SE27 9BW
Turkey Street,51.672654,-0.04723,6,EN3 5TT
Turnham Green,51.495182,-0.254525,2,W4 1LR
Turnpike Lane,51.590358,-0.102805,3,N15 3NX
Twickenham,51.450251,-0.32886,5,TW1 1BD
Upminster,51.558763,0.251401,6,RM14 2TD
Upminster Bridge,51.557719,0.234542,6,RM12 6PL
Upney,51.538406,0.101532,4,IG11 9LS
Upper Holloway,51.563623,-0.129109,2,N19 4DJ
Upper Warlingham,51.308772,-0.077482,6,CR3 0EP
Upton Park,51.536628,0.034542,3,E13 9AP
Uxbridge,51.546455,-0.477102,6,UB8 1JZ
Vauxhall LU,51.485736,-0.12383,1,SW8 1SR
Vauxhall NR,51.485736,-0.12383,1,SW8 1SR
Victoria LU,51.496424,-0.143921,1,SW1E 5JX
Victoria NR,51.496424,-0.143921,1,SW1E 5JX
Waddon,51.367379,-0.117394,5,CR0 4NA
Wallington,51.360332,-0.150864,5,SM6 0DZ
Waltham Cross,51.685257,-0.026564,7,EN8 7LU
Walthamstow Central,51.583018,-0.019941,3,E17 7LP
Walthamstow Queen's Road,51.581546,-0.023844,3,E17 7QZ
Wandsworth Common,51.446366,-0.163537,3,SW12 8NL
Wandsworth Road,51.470223,-0.139038,2,SW8 4PA
Wandsworth Town,51.461034,-0.18791,2,SW18 1SU
Wanstead,51.574902,0.02876,4,E11 2NT
Wanstead Park,51.551778,0.02639,3,E7 0HU
Wapping,51.50434,-0.055861,2,E1W 3PA
Warren Street,51.52458,-0.138278,1,NW1 3AA
Ware,51.808156,-0.028735,11,SG12 9UT
Warwick Avenue,51.523104,-0.182953,2,W9 2PT
Waterloo East,51.504169,-0.109154,1,SE1 8NH
Waterloo LU,51.503147,-0.113259,1,SE1 7NY
Waterloo NR,51.503147,-0.113259,1,SE1 7NY
Watford,51.657605,-0.41727,7,WD18 7LE
Watford High Street,51.652654,-0.391697,8,WD17 2EG
Watford Junction,51.663883,-0.396172,10,WD17 1ET
Welling,51.464777,0.101775,4,DA16 3AT
Wembley Central,51.551865,-0.296392,4,HA9 6AG
Wembley Park,51.563322,-0.279243,4,HA9 9AA
Wembley Stadium,51.554655,-0.286046,4,HA9 8BQ
West Acton,51.51777,-0.280657,3,W3 6UP
West Brompton,51.487329,-0.195539,2,SW5 9JX
West Croydon NR,51.378552,-0.102034,5,CR0 2TA
West Drayton,51.510071,-0.472176,6,UB7 9DY
West Dulwich,51.440912,-0.090673,3,SE21 8HN
West Ealing,51.513625,-0.319783,3,W13 0NQ
West Finchley,51.609263,-0.188917,4,N3 1NT
West Ham,51.528526,0.005317,3,E15 3BN
West Hampstead LO,51.547474,-0.191127,2,NW6 2LX
West Hampstead LU,51.548629,-0.192538,2,NW6 1XJ
West Hampstead NR,51.548633,-0.192544,2,NW6 1XJ
West Harrow,51.578924,-0.353847,5,HA1 4HE
West India Quay,51.506763,-0.020582,2,E14 4ED
West Kensington,51.490109,-0.206204,2,W14 9NL
West Norwood,51.431241,-0.103189,3,SE27 0HS
West Ruislip,51.569588,-0.43786,6,HA4 7WD
West Silvertown,51.502884,0.022246,3,E16 2AT
West Sutton,51.36615,-0.204645,5,SM1 2EH
West Wickham,51.381284,-0.014576,5,BR4 0PY
Westbourne Park,51.520989,-0.200883,2,W11 1AB
Westcombe Park,51.484509,0.017746,3,SE3 7EQ
Westferry,51.509638,-0.026323,2,E14 8AD
Westminster,51.501402,-0.125002,1,SW1A 2JR
White City,51.512232,-0.224632,2,W12 7RH
White Hart Lane,51.605035,-0.07087,3,N17 7RP
Whitechapel,51.519588,-0.05942,2,E1 1BY
Whitton,51.449588,-0.357682,5,TW2 7LG
Whyteleafe,51.309929,-0.081135,6,CR3 0AD
Whyteleafe South,51.30349,-0.076713,6,CR3 0BD
Willesden Green,51.549373,-0.222408,2,NW2 4QT
Willesden Junction,51.532234,-0.243909,3,NW10 4RA
Wimbledon,51.421108,-0.206663,3,SW19 1PS
Wimbledon Chase,51.409531,-0.21409,3,SW20 8DB
Wimbledon Park,51.434581,-0.199186,3,SW19 7DZ
Winchmore Hill,51.633887,-0.100917,4,N21 3NG
Wood Green,51.597454,-0.109527,3,N22 8HH
Wood Lane,51.509658,-0.224473,2,W12 7DS
Wood Street,51.58667,-0.001954,4,E17 3NZ
Woodford,51.607202,0.034056,4,IG8 7QE
Woodgrange Park,51.549053,0.044572,3,E7 8AA
Woodmansterne,51.319019,-0.154262,6,CR5 3HS
Woodside Park,51.617868,-0.185426,4,N12 8SE
Woolwich Arsenal,51.489907,0.069194,4,SE18 6HX
Woolwich Dockyard,51.491108,0.054612,3,SE18 5JY
Worcester Park,51.381104,-0.245575,4,KT4 7ND
